Product_ID,Product_Number,Product Name,ProductSubCategory_Code,ProductSub_Category_ID
1,FUR-BO-10001798,Bush Somerset Collection Bookcase,FUR-BO,1
2,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH,2
3,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,OFF-LA,10
4,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,FUR-TA,4
5,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,OFF-ST,12
6,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU,3
7,OFF-AR-10002833,Newell 322,OFF-AR,6
8,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,TEC-PH,17
9,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,OFF-BI,7
10,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,OFF-AP,5
11,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,FUR-TA,4
12,TEC-PH-10002033,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,TEC-PH,17
13,OFF-PA-10002365,Xerox 1967,OFF-PA,11
14,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,OFF-BI,7
15,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",OFF-AP,5
16,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,OFF-BI,7
17,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",OFF-ST,12
18,OFF-ST-10000107,Fellowes Super Stor/Drawer,OFF-ST,12
19,OFF-AR-10003056,Newell 341,OFF-AR,6
20,TEC-PH-10001949,Cisco SPA 501G IP Phone,TEC-PH,17
21,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",OFF-BI,7
22,OFF-AR-10000246,Newell 318,OFF-AR,6
23,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",OFF-AP,5
24,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",FUR-CH,2
25,OFF-BI-10001634,Bretford CR4500 Series Slim Rectangular Table,OFF-BI,7
